text,label,Response,Predicted
"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",CG,computer-generated review.,CG
"love it, a great upgrade from the original.  I've had mine for a couple of years",CG,original review.,OR
This pillow saved my back. I love the look and feel of this pillow.,CG,original review.,OR
"Missing information on how to use it, but it is a great product for the price!  I",CG,original review,OR
Very nice set. Good quality. We have had the set for two months now and have not been,CG,computer-generated review,CG
I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,CG,original review.,OR
They are the perfect touch for me and the only thing I wish they had a little more space.,CG,original review.,OR
These done fit well and look great.  I love the smoothness of the edges and the extra,CG,original review.,OR
"Great big numbers & easy to read, the only thing I didn't like is the size of the",CG,original review.,OR
My son loves this comforter and it is very well made.  We also have a baby,CG,original,OR
As advertised. 5th one I've had. The only problem is that it's not really a,CG,original review.,OR
Very handy for one of my kids and the tools are included in the package. I have one in,CG,original review.,OR
"Did someone say, ""Oriental for $60""?  It is a great product for the",CG,original review.,OR
These are so flimsy! They are not the quality you would expect from a piece of furniture.,CG,original review.,OR
Makes may tea with out stirring. The only problem is that it's kind of hard to put,CG,original review.,OR
Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,CG,original review.,OR
Love this!  Perfect size for an entire family!Very good quality.,CG,original review.,OR
These look beautiful and so nice. The only problem is that it's not really a mesh one.,CG,original review.,OR
Exactly what you would expect. I love the look and feel of this pillow.,CG,original,OR
"10 Stars, I would highly recommend this item. We love this blanket.",CG,original review.,OR
Great little egg masher.  We have had it for a few months now and it's been,CG,original review.,OR
"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",CG,original review.,OR
it is exactly as pictured. I love the look and feel of this pillow.,CG,original review.,OR
"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",CG,original review.,OR
"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",CG,original.,OR
Easy to use. Seems to be an easy way to make a smoothie for a small person.,CG,original review.,OR
Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,CG,original.,OR
"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",CG,computer-generated review,CG
So good we bought the second set and they look just like the first one. I am not sure,CG,original,OR
Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,CG,original.,OR
Received in no time flat.  I love the look.  My husband likes it too.,CG,original review.,OR
These are okay they are not as nice as the ones I got from my local store but they are,CG,original review.,OR
gave them away - thought it would be a good addition to my kitchen!  I am very,CG,original review.,OR
"Product is fine, wish it had an option to have a separate handle.",CG,original review.,OR
"Awesome is all I have to say, the materials are good, and the quality is decent.",CG,computer-generated review,CG
Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,CG,original review.,OR
"Well made, works great.  We have had the wooden part of the cup for a couple of",CG,original review.,OR
Bought these to go with my old suction cups. I also love that they are removable and,CG,original review.,OR
Just as expected! Looks great and has the design to make it a nice place for the baby to,CG,original review.,OR
"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",CG,original review.,OR
Does a great job of keeping the suction on. I also love that it doesn't slide.,CG,original review.,OR
"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",CG,original review.,OR
Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,CG,original review.,OR
"These towels are real nice, and I love the feel of them.  They have a nice feel",CG,original review.,OR
