text,label,Response
"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",CG,Original
"love it, a great upgrade from the original.  I've had mine for a couple of years",CG,Original
This pillow saved my back. I love the look and feel of this pillow.,CG,Original
"Missing information on how to use it, but it is a great product for the price!  I",CG,Original
Very nice set. Good quality. We have had the set for two months now and have not been,CG,Original
I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,CG,Original
They are the perfect touch for me and the only thing I wish they had a little more space.,CG,Original
These done fit well and look great.  I love the smoothness of the edges and the extra,CG,Original
"Great big numbers & easy to read, the only thing I didn't like is the size of the",CG,Original
My son loves this comforter and it is very well made.  We also have a baby,CG,Original
As advertised. 5th one I've had. The only problem is that it's not really a,CG,Original
Very handy for one of my kids and the tools are included in the package. I have one in,CG,Original
"Did someone say, ""Oriental for $60""?  It is a great product for the",CG,Original
These are so flimsy! They are not the quality you would expect from a piece of furniture.,CG,Original
Makes may tea with out stirring. The only problem is that it's kind of hard to put,CG,Computer-generated
Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,CG,Original
Love this!  Perfect size for an entire family!Very good quality.,CG,Original
These look beautiful and so nice. The only problem is that it's not really a mesh one.,CG,Original
Exactly what you would expect. I love the look and feel of this pillow.,CG,Original
"10 Stars, I would highly recommend this item. We love this blanket.",CG,Original
Great little egg masher.  We have had it for a few months now and it's been,CG,Original
"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",CG,Original
it is exactly as pictured. I love the look and feel of this pillow.,CG,Original
"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",CG,Original
"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",CG,Original
Easy to use. Seems to be an easy way to make a smoothie for a small person.,CG,Original
Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,CG,Original
"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",CG,Computer-generated
So good we bought the second set and they look just like the first one. I am not sure,CG,Original
Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,CG,Original
Received in no time flat.  I love the look.  My husband likes it too.,CG,Original
These are okay they are not as nice as the ones I got from my local store but they are,CG,Original
gave them away - thought it would be a good addition to my kitchen!  I am very,CG,Original
"Product is fine, wish it had an option to have a separate handle.",CG,Original
"Awesome is all I have to say, the materials are good, and the quality is decent.",CG,Original
Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,CG,Original
"Well made, works great.  We have had the wooden part of the cup for a couple of",CG,Original
Bought these to go with my old suction cups. I also love that they are removable and,CG,Original
Just as expected! Looks great and has the design to make it a nice place for the baby to,CG,Original
"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",CG,Original
Does a great job of keeping the suction on. I also love that it doesn't slide.,CG,Original
"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",CG,Computer-generated
Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,CG,Original
"These towels are real nice, and I love the feel of them.  They have a nice feel",CG,Original
"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",CG,Original
"Alright for the price,but was a little disappointed with the quality of the product.",CG,Original
"Great quality, beautiful color.  We have had the same one for a few months now and love",CG,Original
I put paper in one corner of the cabinet and put a piece of paper in the other corner.,CG,Original
Great stickers but a little small. The only reason I gave it 4 stars is because the one in,CG,Original
Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,CG,Original
Perfect. They do exactly what I need them to do. I will keep them for a long time,CG,Original
Love this movie & the time it took to finish. I will keep my review for the next time,CG,Original
"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",CG,Original
Got these for the third time.  I have a small dog and my son loves to throw them,CG,Original
Excellent product and a much better quality than the one you get at Walmart for $50.,CG,Original
"These are just perfect, exactly what I was looking for.",OR,Original
Such a great purchase can't beat it for the price,OR,Original
What can you say--- cheap and it works as intended.,OR,Original
"These are so nice, sturdy, like the color choices too.",OR,Original
It is nice bowl and have had a fast shipping!,OR,Original
Great cup. Will last forever. Keeps things cool / warm.,OR,Original
"Love them, just thought they would be a bit bigger!",OR,Original
Excellent quality product. Perfect for my ccozinha.,OR,Original
This fan is really pretty and I actually use it.,OR,Original
"Super rough, not soft wash cloths, more like bar towels",OR,Original
Like this little guy. Use it often. He is small.,OR,Original
Perfect size .easy to unfold. Topremoves for storage. Love this.,OR,Original
Does not do a very good job; difficult to use.,OR,Original
frame was beautifully crafted and looks great with my picture.,OR,Original
My hot cocoa is finally perfect! This product is fabulous,OR,Original
i bought this for a friend and he loves it.,OR,Original
Very soft and great quality for such a low price!,OR,"Original
"
Purchased as a Christmas gift.  She will love it.,OR,Original
"accurate description, works great, came on time, i'm very happy!",OR,Original
Use it in my Duvet cover. Fluffy and perfect fit!,OR,Original
One of the softest blankets ever. So nice and cozy.,OR,Original
"Smells great, and the fine mist dries quickly. My favorite.",OR,Original
Exactly what I was expecting. perfect curtains for my bedroom.,OR,Original
Just what I wanted to hang my pants and skirts.,OR,Original
"It's kind of small, we were looking for something larger.",OR,Original
A little pricey for what it is.,OR,Original
works great & the charge kept up all day long,OR,Original
This is a nice quality frame at a good price,OR,Original
"Does the job, but nothing special. Not hard to install.",OR,Original
Item as described and arrived in a timely manner.,OR,Original
Bought 2 and sent one back because it didn't work,OR,Original
"Made well holds all my make brushes, pencils, mascara etc.",OR,Original
"sheds all over, would not buy it ever again. blanket.",OR,Original
"Works great, it's Pyrex, I'd expect nothing less from them.",OR,Original
"we like this little opener, real easy on my hands.",OR,Original
Perfect. Love everything about them. Look great in my kitchen.,OR,Original
air tight and it works great glad i got it,OR,Original
Very cute and good quality fabric. Zippers worked well too.,OR,Original
These were great to send my grandkids their Halloween treats,OR,Original
Save a ton by using these instead of paper towels!,OR,Original
These are so weak. They barely bring in any air.,OR,Original
"Great set of glasses!  Good quality, comfortable to handle.",OR,Original
It feels cool to the touch but is super hard.,OR,Original
"So cute, made well my grand daughter will love this.",OR,Original
Works as expected for connecting CCTV power supply to cameras.,OR,Original
Very Soft ! Definitely better quality than I was expecting.,OR,Original
Nice and contemporary. Great for the price. Easy to assemble.,OR,Original
Super cute and appears to be great quality! Highly recommend!,OR,Original
These are really cool actually.  My boyfriend loved them.,OR,Original
Bought as a gift for a cousin.  Very nice.,OR,Original
Stopped working after one use still waiting on my refund,OR,Original
cute and reasonably price. I am happy with my purchase.,OR,Original
Well received and comfortable. Gave as gift to dialysis patient.,OR,Original
"do not expected to be so poor on quality ,",OR,Original
Easy to review. The kid DDS love them!  Thanks,OR,Original
"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair",CG,Original
Order to place special photos on the wall.  We've had it for a couple of weeks and,CG,Original
"baby like it! Thermal insulation helps to keep the food warmer.

The thermal insulation helps keep",CG,Original
"I like it, just wish it had more wide opening. I also love that it's been made",CG,Original
I love pyrex quality and this set is the best. I will be purchasing more in the future,CG,Original
"Perfect for additional storage and convenience. The only problem is that it's not really a vacuum, but",CG,Original
These smell great! I'm pretty happy with the quality and quality of this product!This is a,CG,Original
The turquoise is almost neon. It's a very bright pink.,CG,Original
"Easy to hold, and the material is nice and thick. I will keep my shelves in order and",CG,Original
"Works great for chocolate, yogurt, or any other fruit. I also love that it's removable and",CG,Original
Love it. I think I will buy more.Very nice set of knives!  I have one,CG,Original
Nice small ottoman that does what it should.  Not too big or too small. ,CG,Original
they look great in my kitchen. The only problem is that it's kind of hard to put the,CG,Original
Bought this as a Father's Day gift and it's just what I needed!  I love,CG,Original
"Great for winter months, very soft and comfortable.  I've slept on this for about a week",CG,Original
Nice soft sheets but I find it difficult to put them on a bed that is too warm and doesn,CG,Original
"This is a beautifully made, sturdy, and very comfortable chair.  It is very comfortable and functional",CG,Original
Need to buy two to go with the wide wooden legs of the bedding. I have one in,CG,"Original
"
Very nice and sturdy. I use it as a long-term storage container for my small bags of,CG,Original
"Just as good as original-type containers, the wooden handle is smooth and solid, the handle fits",CG,Original
"Excellent, the grill looks very nice. The only problem is that it's not really a vacuum,",CG,Computer-generated
"Nice large, sturdy canvas tote, and it's lightweight and comfortable.",CG,Original
Good quality and good price. I love the look and feel of this pillow.,CG,Original
"I ordered the light blue, and it arrived with a very small opening.  The yellow was just",CG,Original
Purchased as a gift!  We have had this one for two months now and it's,CG,Original
Very good price for product!I have had this for a few months now and have used it every,CG,Original
"Gets all the shampoo &/or conditioner you want, and I will keep my shower in",CG,Original
This is a mini-chair! Not a real chair. It is a full chair that is comfortable,CG,Original
Happy with my purchase.  We have had the same mattress for a few months now and this one,CG,Original
Works great to keep light on. The only problem is that it's kind of hard to put the,CG,Original
"Bought for son in college, and he loves it!Very good quality.",CG,Original
"Terrible, complete waste of money. Not a whole lot to say.",CG,Original
It looks very nice in my bedroom and the materials are good.  I have a large one and,CG,Original
Easy to put together and looks nice and the finish is good.  I have a large one and,CG,Original
Just what I expected!!! Made a real difference in the quality of my kitchen!This is a pretty,CG,Original
"I'm so glad I got this set, as it is a great deal for the price! ",CG,Original
"Do the job, are adorable, and have the quality to make them a nice addition to the kitchen",CG,Original
Too much work.  This is an easy way to make a smoothie that is perfect for the,CG,Original
Just okay. Did not fit my containers well. We love this blanket.,CG,Original
"As far as little plastic, it's fine, but I'm not sure how well it will hold",CG,Original
"So nice, was a gift for a friend. We love this blanket.",CG,Original
Skinnier than I thought. But it has the quality and design of a lot of other products,CG,Original
Very quick shipping and excellent customer service.  Great value for the money!This is a great little,CG,Original
"Works great, this design makes it easy to hang and it is a nice size for the size of",CG,Original
Perfect! Works in your oven and has the right height. I also love that it's removable and,CG,Original
"Service was great, can't wait to try it out!Very good quality.",CG,Original
Arrived quickly and is the perfect size for the long haul.  I also have a large one,CG,Original
"CHEAP CHINA.  Not a big deal, but it is a little pricey for a",CG,Original
Gave to Mother as a gift. The quality is good but it's not really the best one,CG,Original
"Great for spices but not for anything else.  Not good enough.Nice, sturdy, and functional",CG,Computer-generated
My car smells no different after 3 weeks.  Snake oil.,OR,Original
This pillow cushion is well constructed and easily washed. Very comfortable.,OR,Original
Haven't used the big ones but the small ones work great!,OR,Original
Takes out the mystery of when my meat is finished cooking,OR,Computer-generated
Its nice to have an organizer large enough for the utensils.,OR,Original
Works perfectly.  Easy to put in your art and hang.,OR,Original
Great little rug!  I'd buy it again in different colors.,OR,Original
Holds some gift wrap but not longer tubes which is disappointing.,OR,Original
Belts never last long enough but this seems to work okay.,OR,Original
"Such a great price, less expensive than renting & great quality",OR,Original
Good for the price but doesn't soften up much after washing,OR,Original
I love these sheets!!!!  Goes great with my star quilts,OR,Original
Great mug - bigger than I thought it would be too!,OR,Original
I gave this as a gift and my daughter loves hers.,OR,Original
These are great!  Great space saver in our laundry room!,OR,Original
Very flexible leading edge not quite as helpful under all conditions.,OR,Original
bottom will not stay on.....zero customer service  do not buy,OR,Original
"Very nice, elegant glass and does improve the taste of wine.",OR,Original
excellent product if you are a side sleeper this is perfect,OR,Original
When there not in the oven they make great place mats,OR,Original
love it  it is so cute in my new bathroom,OR,Original
Exactly as pictured! Sturdy and perfect for baking and cooking needs!,OR,Original
Top notch artistry done on this bust from grand jesters studios.,OR,Original
Love these and I get many comments on this spoon :-),OR,Original
"Did not expect this table to  be this nice, Thanks",OR,Original
Great product. Arrived on time and matched my shower curtain perfectly.,OR,Original
a nice secondary vacuum for small apartments and reaching tight areas,OR,Original
"Good size, good value for money. Looks great in my bar.",OR,Original
"Somewhat hard to clean, not as convenient as I had hoped.",OR,Original
Works Great with all my battery candles of the same brand.,OR,Original
Ok pillow kind of too hard and firm not very soft,OR,Original
"Perfection. Beyond easy to use, minimal effort, fast and perfect froth.",OR,Original
Love this item. I smile every time I I use it,OR,Original
Fleece blanket is cozy warm. It was exactly what I wanted.,OR,Original
Noticed today top I'd bubbling up where a glass was set,OR,Computer-generated
Great for weighing in lbs and oz not grams. Fast shipping.,OR,Original
These were great. I just had to order a longer size.,OR,Original
Nice sticks; used these for almost every meal; good for PHO.,OR,Original
This is one of the best things I have ever bought,OR,Original
Love it but too small.  Would love in larger size,OR,Original
"Perfect for my candy buffet, and it will certainly be multipurpose.",OR,Original
Works perfect. Use this for my EV cord in the garage,OR,Original
Do not waste your money.  It broke after one month.,OR,Original
"A little tacky, but on the shelf in the spare bathroom.",OR,Original
Helps cool my memory mattress a little but not a lot.,OR,Original
This is perfect. I wish I would have ordered it earlier.,OR,Original
"Excellent packaging, Fast shipping , super quality for the right price.",OR,Original
Good mix - my favorite is still the Goloka Nag Champa,OR,Original
Just what the bride wanted came out nice with the engraving.,OR,Original
"The color slightly different than I got,the website pictures looks better.",OR,Original
"Really great, soft and warm. I love the feel of this blanket.",CG,Original
"LESS THEN 1 YEAR OLD, BUT NO MORE!!  I've had mine for 2 months now",CG,Original
"It's a pint. And it's a pint, too.

It's also a pint",CG,Computer-generated
Perfect for what I needed. I love the look and feel of this pillow.,CG,Original
Bought this just to pick up an old mattress and it was a nice piece of equipment. ,CG,Original
the plastic rings either gone or destroyed the pieces.  I will keep my old ones as gifts.,CG,Original
"Nice just more trouble then it looks, the finish is a bit thin, not the best quality.",CG,Original
Great Seller. Item just like it.Great quality and just what I needed for my kitchen! ,CG,Original
Very cute. Go with what you have. Not too big or too small.,CG,Original
looks high end and feels nice. The only problem is that it's kind of hard to put,CG,Original
"This mug is VERY nice.  I love the look and feel of it, and the size and",CG,Original
It works really well it looks great and the materials are good.  I have a large one and,CG,Original
Ordered this as a gift and it arrived on time. I will keep my review for the next,CG,Original
Beautiful calming light. Not sure what it is. We love this blanket.,CG,Original
I like the clock although it has the design flaw which is that it is a little hard to read,CG,Original
Exactly as advertised. Better quality than the original. We love this blanket.,CG,Original
Perfect solution to sorting his messes and the tools. I also love that it's removable and can,CG,Original
"very cute item, going to go with the wide wooden legs for a nice dinner table.",CG,Original
Beautious!  The perfect wall clock.  It's a good size and looks great in my,CG,Original
Just OK. Am buying a second set.I love these containers.  They work well and look,CG,Original
Great comforter especially when you are on the go.  I will keep my shelves in order,CG,Original
"It's nice, fit just right, and the quality is good.

The only reason I",CG,Original
These are very nice mugs.  They are very long and fit nicely on my shelves. ,CG,Original
Easy to assemble.  Arrived on time and as described.  My husband and I have been,CG,Original
I bought one for my daughter and it was very comfortable.  She also loves the way the bed,CG,Original
