text,label,Response
"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",CG,Computer-generated review.
"love it, a great upgrade from the original.  I've had mine for a couple of years",CG,Original review
This pillow saved my back. I love the look and feel of this pillow.,CG,Original review.
"Missing information on how to use it, but it is a great product for the price!  I",CG,Computer-generated review.
Very nice set. Good quality. We have had the set for two months now and have not been,CG,Original review.
I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,CG,Original review.
They are the perfect touch for me and the only thing I wish they had a little more space.,CG,Original
These done fit well and look great.  I love the smoothness of the edges and the extra,CG,Original review.
"Great big numbers & easy to read, the only thing I didn't like is the size of the",CG,Original review.
My son loves this comforter and it is very well made.  We also have a baby,CG,Original
As advertised. 5th one I've had. The only problem is that it's not really a,CG,Original.
Very handy for one of my kids and the tools are included in the package. I have one in,CG,Original.
"Did someone say, ""Oriental for $60""?  It is a great product for the",CG,Original review.
These are so flimsy! They are not the quality you would expect from a piece of furniture.,CG,Original
Makes may tea with out stirring. The only problem is that it's kind of hard to put,CG,Original review.
Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,CG,Original
Love this!  Perfect size for an entire family!Very good quality.,CG,Original review.
These look beautiful and so nice. The only problem is that it's not really a mesh one.,CG,Computer-generated review.
Exactly what you would expect. I love the look and feel of this pillow.,CG,Computer-generated review
"10 Stars, I would highly recommend this item. We love this blanket.",CG,Original
Great little egg masher.  We have had it for a few months now and it's been,CG,Original review.
"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",CG,Original review.
it is exactly as pictured. I love the look and feel of this pillow.,CG,Original review.
"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",CG,Computer-generated review.
"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",CG,Original.
Easy to use. Seems to be an easy way to make a smoothie for a small person.,CG,Original.
Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,CG,Original review.
"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",CG,Computer-generated review
So good we bought the second set and they look just like the first one. I am not sure,CG,Original
Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,CG,Computer-generated review
Received in no time flat.  I love the look.  My husband likes it too.,CG,Original review.
These are okay they are not as nice as the ones I got from my local store but they are,CG,Original.
gave them away - thought it would be a good addition to my kitchen!  I am very,CG,Original review.
"Product is fine, wish it had an option to have a separate handle.",CG,Original review.
"Awesome is all I have to say, the materials are good, and the quality is decent.",CG,Original review
Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,CG,Original.
"Well made, works great.  We have had the wooden part of the cup for a couple of",CG,Original review.
Bought these to go with my old suction cups. I also love that they are removable and,CG,Original
Just as expected! Looks great and has the design to make it a nice place for the baby to,CG,Original review.
"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",CG,Computer-generated review.
Does a great job of keeping the suction on. I also love that it doesn't slide.,CG,Original review.
"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",CG,Original review.
Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,CG,Original review.
"These towels are real nice, and I love the feel of them.  They have a nice feel",CG,Original review.
"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",CG,Original review.
"Alright for the price,but was a little disappointed with the quality of the product.",CG,Original review.
"Great quality, beautiful color.  We have had the same one for a few months now and love",CG,Original review.
I put paper in one corner of the cabinet and put a piece of paper in the other corner.,CG,Original review
Great stickers but a little small. The only reason I gave it 4 stars is because the one in,CG,Original review.
Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,CG,Original review.
Perfect. They do exactly what I need them to do. I will keep them for a long time,CG,Original
Love this movie & the time it took to finish. I will keep my review for the next time,CG,Original review.
"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",CG,Original review.
Got these for the third time.  I have a small dog and my son loves to throw them,CG,Original
Excellent product and a much better quality than the one you get at Walmart for $50.,CG,Original review
"These are just perfect, exactly what I was looking for.",OR,Original
Such a great purchase can't beat it for the price,OR,Computer-generated review.
What can you say--- cheap and it works as intended.,OR,Original review.
"These are so nice, sturdy, like the color choices too.",OR,Original review.
It is nice bowl and have had a fast shipping!,OR,Original review.
Great cup. Will last forever. Keeps things cool / warm.,OR,Original review.
"Love them, just thought they would be a bit bigger!",OR,Original review
Excellent quality product. Perfect for my ccozinha.,OR,Original review.
This fan is really pretty and I actually use it.,OR,Original review.
"Super rough, not soft wash cloths, more like bar towels",OR,Original review.
Like this little guy. Use it often. He is small.,OR,Original review.
Perfect size .easy to unfold. Topremoves for storage. Love this.,OR,Original review.
Does not do a very good job; difficult to use.,OR,Original review.
frame was beautifully crafted and looks great with my picture.,OR,Original review.
My hot cocoa is finally perfect! This product is fabulous,OR,Original review.
i bought this for a friend and he loves it.,OR,Original review.
Very soft and great quality for such a low price!,OR,Original
Purchased as a Christmas gift.  She will love it.,OR,Original review.
"accurate description, works great, came on time, i'm very happy!",OR,Original review
Use it in my Duvet cover. Fluffy and perfect fit!,OR,Original.
One of the softest blankets ever. So nice and cozy.,OR,Original review.
"Smells great, and the fine mist dries quickly. My favorite.",OR,Original review.
Exactly what I was expecting. perfect curtains for my bedroom.,OR,Original review.
Just what I wanted to hang my pants and skirts.,OR,Original review.
"It's kind of small, we were looking for something larger.",OR,Original review.
A little pricey for what it is.,OR,Original review.
works great & the charge kept up all day long,OR,Original review.
This is a nice quality frame at a good price,OR,Original review.
"Does the job, but nothing special. Not hard to install.",OR,Original review.
Item as described and arrived in a timely manner.,OR,Original review.
Bought 2 and sent one back because it didn't work,OR,Original.
"Made well holds all my make brushes, pencils, mascara etc.",OR,Original.
"sheds all over, would not buy it ever again. blanket.",OR,Original review.
"Works great, it's Pyrex, I'd expect nothing less from them.",OR,Original review.
"we like this little opener, real easy on my hands.",OR,Original review.
Perfect. Love everything about them. Look great in my kitchen.,OR,Original review
air tight and it works great glad i got it,OR,Original review.
Very cute and good quality fabric. Zippers worked well too.,OR,Original review.
These were great to send my grandkids their Halloween treats,OR,Original.
Save a ton by using these instead of paper towels!,OR,Original review.
These are so weak. They barely bring in any air.,OR,Original review.
"Great set of glasses!  Good quality, comfortable to handle.",OR,Original.
It feels cool to the touch but is super hard.,OR,Original
"So cute, made well my grand daughter will love this.",OR,Original review.
Works as expected for connecting CCTV power supply to cameras.,OR,Original.
