text,label,Response
"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",CG,Original
"love it, a great upgrade from the original.  I've had mine for a couple of years",CG,Original
This pillow saved my back. I love the look and feel of this pillow.,CG,Original
"Missing information on how to use it, but it is a great product for the price!  I",CG,Original
Very nice set. Good quality. We have had the set for two months now and have not been,CG,Original
I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,CG,Original
They are the perfect touch for me and the only thing I wish they had a little more space.,CG,Original
These done fit well and look great.  I love the smoothness of the edges and the extra,CG,Computer-generated
"Great big numbers & easy to read, the only thing I didn't like is the size of the",CG,computer_generated
My son loves this comforter and it is very well made.  We also have a baby,CG,Original review
As advertised. 5th one I've had. The only problem is that it's not really a,CG,Original
Very handy for one of my kids and the tools are included in the package. I have one in,CG,Computer-generated
"Did someone say, ""Oriental for $60""?  It is a great product for the",CG,Original
These are so flimsy! They are not the quality you would expect from a piece of furniture.,CG,Original
Makes may tea with out stirring. The only problem is that it's kind of hard to put,CG,Original
Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,CG,Original
Love this!  Perfect size for an entire family!Very good quality.,CG,Computer-generated
These look beautiful and so nice. The only problem is that it's not really a mesh one.,CG,Original
Exactly what you would expect. I love the look and feel of this pillow.,CG,Original
"10 Stars, I would highly recommend this item. We love this blanket.",CG,Original
Great little egg masher.  We have had it for a few months now and it's been,CG,Computer-generated review
"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",CG,Original
it is exactly as pictured. I love the look and feel of this pillow.,CG,Original
"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",CG,Original
"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",CG,Original
Easy to use. Seems to be an easy way to make a smoothie for a small person.,CG,Original
Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,CG,Original review
"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",CG,Computer-generated review
So good we bought the second set and they look just like the first one. I am not sure,CG,Original review
Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,CG,Computer-generated
Received in no time flat.  I love the look.  My husband likes it too.,CG,Original
These are okay they are not as nice as the ones I got from my local store but they are,CG,Original
gave them away - thought it would be a good addition to my kitchen!  I am very,CG,Computer-Generated
"Product is fine, wish it had an option to have a separate handle.",CG,Original
"Awesome is all I have to say, the materials are good, and the quality is decent.",CG,Computer-generated
Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,CG,Computer-generated
"Well made, works great.  We have had the wooden part of the cup for a couple of",CG,Original
Bought these to go with my old suction cups. I also love that they are removable and,CG,Original review
Just as expected! Looks great and has the design to make it a nice place for the baby to,CG,Original
"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",CG,Computer-generated
Does a great job of keeping the suction on. I also love that it doesn't slide.,CG,Original
"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",CG,Original
Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,CG,Original
"These towels are real nice, and I love the feel of them.  They have a nice feel",CG,Original
"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",CG,Original
"Alright for the price,but was a little disappointed with the quality of the product.",CG,Original review
"Great quality, beautiful color.  We have had the same one for a few months now and love",CG,Original
I put paper in one corner of the cabinet and put a piece of paper in the other corner.,CG,Original
Great stickers but a little small. The only reason I gave it 4 stars is because the one in,CG,Original review
Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,CG,Original
Perfect. They do exactly what I need them to do. I will keep them for a long time,CG,Original Review
Love this movie & the time it took to finish. I will keep my review for the next time,CG,Original
"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",CG,Original
Got these for the third time.  I have a small dog and my son loves to throw them,CG,Original
Excellent product and a much better quality than the one you get at Walmart for $50.,CG,Computer-generated
"These are just perfect, exactly what I was looking for.",OR,Computer-generated
Such a great purchase can't beat it for the price,OR,Original
What can you say--- cheap and it works as intended.,OR,Original
"These are so nice, sturdy, like the color choices too.",OR,Original
It is nice bowl and have had a fast shipping!,OR,Original
Great cup. Will last forever. Keeps things cool / warm.,OR,computer-generated
"Love them, just thought they would be a bit bigger!",OR,Original
Excellent quality product. Perfect for my ccozinha.,OR,Computer-generated review
This fan is really pretty and I actually use it.,OR,Computer-generated review
"Super rough, not soft wash cloths, more like bar towels",OR,Original
Like this little guy. Use it often. He is small.,OR,Original
Perfect size .easy to unfold. Topremoves for storage. Love this.,OR,Original review
Does not do a very good job; difficult to use.,OR,Computer-generated
frame was beautifully crafted and looks great with my picture.,OR,Original
My hot cocoa is finally perfect! This product is fabulous,OR,Original
i bought this for a friend and he loves it.,OR,Original
Very soft and great quality for such a low price!,OR,Original
Purchased as a Christmas gift.  She will love it.,OR,Original
"accurate description, works great, came on time, i'm very happy!",OR,Computer-generated
Use it in my Duvet cover. Fluffy and perfect fit!,OR,Original
One of the softest blankets ever. So nice and cozy.,OR,Original
"Smells great, and the fine mist dries quickly. My favorite.",OR,Original review
Exactly what I was expecting. perfect curtains for my bedroom.,OR,Original
Just what I wanted to hang my pants and skirts.,OR,Original
"It's kind of small, we were looking for something larger.",OR,Original
A little pricey for what it is.,OR,Original
works great & the charge kept up all day long,OR,Computer-generated review
This is a nice quality frame at a good price,OR,Original
"Does the job, but nothing special. Not hard to install.",OR,Computer-generated
Item as described and arrived in a timely manner.,OR,Original review
Bought 2 and sent one back because it didn't work,OR,Original
"Made well holds all my make brushes, pencils, mascara etc.",OR,Original
"sheds all over, would not buy it ever again. blanket.",OR,Original
"Works great, it's Pyrex, I'd expect nothing less from them.",OR,Original
"we like this little opener, real easy on my hands.",OR,Original
Perfect. Love everything about them. Look great in my kitchen.,OR,Original
air tight and it works great glad i got it,OR,Original
Very cute and good quality fabric. Zippers worked well too.,OR,Original
These were great to send my grandkids their Halloween treats,OR,Original review
Save a ton by using these instead of paper towels!,OR,Original
These are so weak. They barely bring in any air.,OR,Original
"Great set of glasses!  Good quality, comfortable to handle.",OR,Original
It feels cool to the touch but is super hard.,OR,Original
"So cute, made well my grand daughter will love this.",OR,Original
Works as expected for connecting CCTV power supply to cameras.,OR,Original
